2026-05-03 17:43:55,383 | INFO | root | Log activo: logs\pipeline_20260503_174355.log
2026-05-03 17:43:55,968 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 17:43:55,969 | INFO | ingest | Iniciando ingesta | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx | hojas: ['ARG', 'BRA', 'CHI', 'COL', 'ECU', 'MEX', 'PER']
2026-05-03 17:43:55,970 | INFO | ingest | Leyendo hoja: ARG | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:43:57,147 | INFO | ingest | Hoja 'ARG': 12,344 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:43:57,147 | INFO | ingest | Leyendo hoja: BRA | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:43:58,578 | INFO | ingest | Hoja 'BRA': 21,738 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:43:58,578 | INFO | ingest | Leyendo hoja: CHI | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:43:59,177 | INFO | ingest | Hoja 'CHI': 7,584 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:43:59,177 | INFO | ingest | Leyendo hoja: COL | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:44:00,775 | INFO | ingest | Hoja 'COL': 23,972 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:44:00,775 | INFO | ingest | Leyendo hoja: ECU | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:44:01,857 | INFO | ingest | Hoja 'ECU': 13,022 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:44:01,858 | INFO | ingest | Leyendo hoja: MEX | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:44:03,803 | INFO | ingest | Hoja 'MEX': 23,090 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:44:03,804 | INFO | ingest | Leyendo hoja: PER | archivo: data\raw\02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 17:44:04,693 | INFO | ingest | Hoja 'PER': 9,806 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 17:44:04,693 | INFO | ingest | Ingesta completada | 7 hojas | 111,556 filas totales
2026-05-03 17:44:04,693 | INFO | run_pipeline | ━━━ PASO 2/3: PROCESS ━━━
2026-05-03 17:44:04,694 | INFO | process | === INICIO PROCESS ===
2026-05-03 17:44:04,694 | INFO | process | Paso 1/6: Concatenando hojas
2026-05-03 17:44:04,695 | INFO | process |   Total combinado: 111,556 filas
2026-05-03 17:44:04,695 | INFO | process | Paso 2/6: Consolidando marcas GLI
2026-05-03 17:44:10,154 | INFO | process | Consolidación de marcas: 102 variantes mapeadas | 1,030 filas renombradas
2026-05-03 17:44:10,154 | INFO | process | Paso 3/6: Pivot long → wide
2026-05-03 17:44:10,309 | INFO | process | Pivot completado: 13,642 filas × 15 columnas
2026-05-03 17:44:10,309 | INFO | process | Paso 4/6: Agregando flag es_genomma
2026-05-03 17:44:10,312 | INFO | process | Flag Genomma: 171 productos identificados como GLI
2026-05-03 17:44:10,312 | INFO | process | Paso 5/6: Aplicando tipos de cambio
2026-05-03 17:44:10,312 | INFO | process | Cargando tipos de cambio: data\raw\2026.03_Tipos de Cambio.xlsx
2026-05-03 17:44:10,411 | INFO | process | Tipo de cambio aplicado: período 2026-03-31 00:00:00
2026-05-03 17:44:10,420 | INFO | process | Conversión USD completada para todos los períodos
2026-05-03 17:44:10,423 | INFO | process | Paso 6/6: Validando calidad de datos
2026-05-03 17:44:10,479 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'BIOSINTEX RETAIL', 'producto': 'PIRIGRIP'}
2026-05-03 17:44:10,480 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'GENOMMA LAB', 'producto': 'MATRIX GRIP ANTIG'}
2026-05-03 17:44:10,480 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'GRAMON-MILLET RMM', 'producto': 'NEUMOBRON GRIP'}
2026-05-03 17:44:10,480 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'LAFEDAR', 'producto': 'DAYGRIP'}
2026-05-03 17:44:10,480 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'PFIZER', 'producto': 'DRISTAN DESCONGES'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'BIOSINTEX RETAIL', 'producto': 'PIRITOS'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'TUKOL FAMILIAR'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'LAFEDAR', 'producto': 'TOSEDRIN JARABE'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'OMICRON', 'producto': 'TOSCALMIN'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'ROEMMERS', 'producto': 'ATHOS B'}
2026-05-03 17:44:10,481 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'BISOLVON VF'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN 24 HS'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN FORTE'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN FR'}
2026-05-03 17:44:10,482 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SAVANT', 'producto': 'BUENAFUE.9 HIERBAS'}
