2026-05-03 18:51:33,859 | INFO | root | Log activo: logs\pipeline_20260503_185133.log
2026-05-03 18:51:34,334 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 18:51:34,335 | INFO | ingest | Iniciando ingesta | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx | hojas: ['ARG', 'BRA', 'CHI', 'COL', 'ECU', 'MEX', 'PER']
2026-05-03 18:51:34,335 | INFO | ingest | Leyendo hoja: ARG | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:35,419 | INFO | ingest | Hoja 'ARG': 12,344 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:35,419 | INFO | ingest | Leyendo hoja: BRA | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:36,839 | INFO | ingest | Hoja 'BRA': 21,738 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:36,839 | INFO | ingest | Leyendo hoja: CHI | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:37,430 | INFO | ingest | Hoja 'CHI': 7,584 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:37,431 | INFO | ingest | Leyendo hoja: COL | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:38,958 | INFO | ingest | Hoja 'COL': 23,972 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:38,959 | INFO | ingest | Leyendo hoja: ECU | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:39,887 | INFO | ingest | Hoja 'ECU': 13,022 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:39,887 | INFO | ingest | Leyendo hoja: MEX | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:41,470 | INFO | ingest | Hoja 'MEX': 23,090 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:41,470 | INFO | ingest | Leyendo hoja: PER | archivo: data/raw/02.2026 Data OTC CloseUP Moneda local.xlsx
2026-05-03 18:51:42,235 | INFO | ingest | Hoja 'PER': 9,806 filas leídas | métricas: ['%MS (Rolling 12M)', 'Mercado (Rolling 12M)']
2026-05-03 18:51:42,236 | INFO | ingest | Ingesta completada | 7 hojas | 111,556 filas totales
2026-05-03 18:51:42,236 | INFO | run_pipeline | ━━━ PASO 2/3: PROCESS ━━━
2026-05-03 18:51:42,236 | INFO | process | === INICIO PROCESS ===
2026-05-03 18:51:42,237 | INFO | process | Paso 1/6: Concatenando hojas
2026-05-03 18:51:42,238 | INFO | process |   Total combinado: 111,556 filas
2026-05-03 18:51:42,238 | INFO | process | Paso 2/6: Brand consolidation
2026-05-03 18:51:42,756 | INFO | process |   Brand consolidation: 110 mapeos | productos antes=12354 → después=12250 | 110,832 filas post-reagregación
2026-05-03 18:51:42,756 | INFO | process | Paso 3/6: Pivot long → wide
2026-05-03 18:51:42,891 | INFO | process | Pivot completado: 13,638 filas × 15 columnas
2026-05-03 18:51:42,892 | INFO | process | Paso 4/6: Agregando flag es_genomma
2026-05-03 18:51:42,897 | INFO | process | Flag Genomma: 168 productos identificados como GLI
2026-05-03 18:51:42,897 | INFO | process | Paso 5/6: Aplicando tipos de cambio
2026-05-03 18:51:42,898 | INFO | process | Cargando tipos de cambio: data/raw/2026.03_Tipos de Cambio.xlsx
2026-05-03 18:51:42,975 | INFO | process | Tipo de cambio aplicado: período 2026-03-31 00:00:00
2026-05-03 18:51:42,983 | INFO | process | Conversión USD completada para todos los períodos
2026-05-03 18:51:42,987 | INFO | process | Paso 6/6: Validando calidad de datos
2026-05-03 18:51:43,027 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'BIOSINTEX RETAIL', 'producto': 'PIRIGRIP'}
2026-05-03 18:51:43,027 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'GENOMMA LAB', 'producto': 'MATRIX GRIP ANTIG'}
2026-05-03 18:51:43,028 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'GRAMON-MILLET RMM', 'producto': 'NEUMOBRON GRIP'}
2026-05-03 18:51:43,028 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'LAFEDAR', 'producto': 'DAYGRIP'}
2026-05-03 18:51:43,028 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '01.GRIPA', 'laboratorio': 'PFIZER', 'producto': 'DRISTAN DESCONGES'}
2026-05-03 18:51:43,029 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'BIOSINTEX RETAIL', 'producto': 'PIRITOS'}
2026-05-03 18:51:43,029 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'GENOMMA LAB', 'producto': 'TUKOL FAMILIAR'}
2026-05-03 18:51:43,029 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'LAFEDAR', 'producto': 'TOSEDRIN JARABE'}
2026-05-03 18:51:43,029 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'OMICRON', 'producto': 'TOSCALMIN'}
2026-05-03 18:51:43,030 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'ROEMMERS', 'producto': 'ATHOS B'}
2026-05-03 18:51:43,030 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'BISOLVON VF'}
2026-05-03 18:51:43,031 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN'}
2026-05-03 18:51:43,031 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN 24 HS'}
2026-05-03 18:51:43,032 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN FORTE'}
2026-05-03 18:51:43,033 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SANOFI', 'producto': 'MUCOSOLVAN FR'}
2026-05-03 18:51:43,033 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '1.C&C - COUGH & COLD', 'sub_categoria': '02.TOS', 'laboratorio': 'SAVANT', 'producto': 'BUENAFUE.9 HIERBAS'}
